KEXP's Song of the Day 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
87,Silmät kiinni ja kädet ristiin,3gUpfdY4ggeY47Bi0Sku2l,Teksti-TV 666,7z2C1Bdfhs0BHY3TlCOTGj,Silmät kiinni ja kädet ristiin,3xYMHrAyMkJlAMFSdfaPct,21,https://p.scdn.co/mp3-preview/e96d0540f19df463cc4f08b3a23896606dfa1cff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Ombre,7aGPqPaVg53fsMTiYkJR3D,The Entrepreneurs,4S7dliS2X7ESmtenWiGlaq,Tony Rominger,5O0P5UmaRqnRTjoixWtPxQ,7,https://p.scdn.co/mp3-preview/a472fa87464eefe84d310e72ff94216dc8a2488f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Halfway Home,7yauTJLoU0eX3KZR2fLJZ0,Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd,Halfway Home,1h7TXTInDPNPBHMDnUlFnW,0,not available
90,Ordinary Day,51w3beFot84LYQyTTq5BcY,The Districts,3HZgaiR960RFqx9d4LPraD,Ordinary Day,3hi6wQDsUuHYrr8RqteeTB,0,not available
91,Interlopers,33a2biVxEA6MpuhYbe1muh,The Megaphonic Thrift,1zBQLP6saP3rFpTxJ6tiXH,Sun Stare Sound,1pkh3gieFaOPgzZfpg0wPS,0,not available
92,What I Want,7Cg84GbvvQxKkZOXRjKQKw,Cende,20qX3cQlCJME6SjcCOLlpI,What I Want,7KHVIlfaEQ1kD2NBtP8Pwy,0,not available
93,Falling Eyes,24zqbSYjK4L3YAIjBc56ZU,Eyelids,0rYNielsCINWVoYJofAmUs,Or,6hiMpeTTUZgxtl4IzejYGL,0,not available
94,Rain in Soho,3zmDm22r3qPLX9K91sagh2,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Goths,6VTTkMIKHhmFsZkKXsvS5I,42,https://p.scdn.co/mp3-preview/4530124320b337e5d074c72d0855d65435ac3d55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Deranged,1MB0FuhXsWiF1j7s1BvWas,Chemtrails,2AvNtsTKAOkaoD7aonyHHJ,Deranged,6jhGi4eldi3ZEu44A2MAaU,4,not available
96,Good With God,6B7uQCTsW7AWryMbeyB9Q1,Old 97's,27AzFtMZhRN78bAMPntbpF,Graveyard Whistling,7ywOBDa57oYH3IllwwBiFU,0,not available
97,Different Now,5tA5shSEKB44zDYKkLfTOx,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,Different Now,6J78A61dRJvFO0K5BdGrZL,4,not available
98,To Know Your Mission,0u5bIXVdk8XYXt0zfM5Kuc,Jens Lekman,7tzI4rSFTHafjF18ZrNZWx,Life Will See You Now,1hXSxD7wpxEHXiLkk69EaQ,28,https://p.scdn.co/mp3-preview/b79e34f06387440e97751a885640e90695968f3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
