All Out 70s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
86,Superstition,4dwrL3Z5U2RZ6MZiKE2PgL,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Number 1's,5x7vXXWapy8cUmdSuwpUy1,27,not available
87,Baker Street,5gOd6zDC8vhlYjqbQdJVWP,Gerry Rafferty,7tjbDPvrdvDshcpEMXKRVb,City To City,35yZZTWeSrszSKjRlFETwf,70,https://p.scdn.co/mp3-preview/44a14bd01aee71770b24d91f871a00ccc23568d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Love Comes To Everyone - Remastered 2004,1dYimSgEq46lJ30MKQP9l6,George Harrison,7FIoB5PHdrMZVC3q2HE5MS,George Harrison,5LEZHIvSR7NRc9J4ojDUwU,57,not available
89,Stumblin' In - 2017 Remaster,0EA8k9iH93YEJFaBuRt7Tc,Suzi Quatro,15jHZ1EZwmm2QDjKctvqJQ,If You Knew Suzi… (2017 Remaster),1F8Hmjm8xJC1OhSEMn7pDR,62,https://p.scdn.co/mp3-preview/3bcbaa5801f15cd101035d14b2e0007cd96863be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Baby Come Back,3adQpYatYOsgAKr853t4mZ,Player,04Hei5MUewbIRsL1sCHzif,'70s Pop #1's,0EGFovrr9MRmTAqnTAaYMU,61,not available
91,We Can Work It Out,6AplSHtiSr0cqimR27ghdV,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Signed Sealed And Delivered,4QxPK644Vy4FQrtMF90CMe,19,not available
92,Rebel Rebel - 2016 Remaster,2EC9IJj7g0mN1Q5VrZkiYY,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Diamond Dogs (2016 Remastered Version),72mfhbEsMtXR6s7v9UhKe3,75,https://p.scdn.co/mp3-preview/392a6a4c64a5129a088460dc6257c1ef740b54ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,You Ain't Seen Nothing Yet,0HOrDVS349XFcpCYsO2hAP,Bachman-Turner Overdrive,5q4AzEtCoYJyXjMMoEkSU5,Not Fragile,3TtCMt4XLddj9PQeVBfsK1,70,not available
94,Miss You - Remastered,3hJLKtTpgct9Y9wKww0BiR,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Some Girls,1Jv2AqzhgsduUik2p4k3cS,68,not available
95,American Girl,7MRyJPksH3G2cXHN8UKYzP,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,Tom Petty & The Heartbreakers,6TLTd0P2CUI0Q29AQ1LyFi,75,https://p.scdn.co/mp3-preview/36d69a9c5b7a78b378f349e319ca49075993717b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Dancing In The Moonlight (It's Caught Me In It's Spotlight),6BmzbaB08O0FjHXeS0cR5b,Thin Lizzy,6biWAmrHyiMkX49LkycGqQ,Bad Reputation (Expanded Edition),0DHKadXfnYCAXp28F3HI8U,65,not available
97,Jealous Guy - Remastered 2010,3D9iV6cYkYJRAPFO6DRKIE,John Lennon,4x1nvY2FN8jxqAFA0DA02H,Imagine,0xzaemKucrJpYhyl7TltAk,68,not available
98,Love Will Keep Us Together,1f4iVGDitHYMVBaoc9GXO2,Captain & Tennille,7BEfMxbaqx6dOpbtlEqScm,Greatest Hits,1E2cTF5jk1nLrb0XMkXq4z,53,not available
99,Sailing,6OuRbvP4PgbuzBIapVzmFJ,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,Atlantic Crossing,7vV3q5jE7DSuKsnHr7OmmN,68,https://p.scdn.co/mp3-preview/c439e993211cf5bc0c7da7b1b9821528ebce79cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Baba O'Riley,3qiyyUfYe7CRYLucrPmulD,The Who,67ea9eGLXYMsO2eYQRui3w,Who's Next,5MqyhhHbT13zsloD3uHhlQ,78,not available
